iv,iv_list,split_list,var_name,woe_list
0.106399368,0.023698923,"(0.107456179108,0.223774117664]",rate_spchar_cnt,0.631681474
0.106399368,0.003260807,"(0.223774117664,+INF)",rate_spchar_cnt,0.237330841
0.349003442,0.04749003,"(-INF,0.001043584396]",rate_name_if_dup,-0.531748044
0.349003442,0.016391691,"(0.001043584396,0.0021691974]",rate_name_if_dup,0.504534382
0.349003442,0.011894871,"(0.0021691974,0.0027173913]",rate_name_if_dup,-0.560176355
0.349003442,0.000361781,"(0.0027173913,0.0034843206]",rate_name_if_dup,0.078356648
0.349003442,0.001928048,"(0.0034843206,0.0040983607]",rate_name_if_dup,0.184221016
0.349003442,0.017792904,"(0.0040983607,0.0049751244]",rate_name_if_dup,0.512053769
0.349003442,0.000431252,"(0.0049751244,0.0059171598]",rate_name_if_dup,0.087799107
0.349003442,0.017285165,"(0.0059171598,0.0071942446]",rate_name_if_dup,0.475289478
0.349003442,0.001012221,"(0.0071942446,0.0092592593]",rate_name_if_dup,0.104280333
0.349003442,0.026951206,"(0.0092592593,0.0114942529]",rate_name_if_dup,0.580072691
0.349003442,0.001289475,"(0.0114942529,0.0138888889]",rate_name_if_dup,0.145981063
0.349003442,2.50E-06,"(0.0138888889,0.0196078431]",rate_name_if_dup,-0.005615337
0.349003442,0.007083852,"(0.0196078431,0.0303030303]",rate_name_if_dup,-0.357235511
0.349003442,0.199088444,"(0.0303030303,+INF)",rate_name_if_dup,-3.452797832
0.165444655,0.041779336,"(-INF,0.0]",rate_name_dup_cnt,-0.514601034
0.165444655,0.014351378,"(0.0,0.0092592593]",rate_name_dup_cnt,0.516827329
0.165444655,0.005785975,"(0.0092592593,0.0142857143]",rate_name_dup_cnt,0.315292383
0.165444655,0.048305977,"(0.0142857143,0.02202175936]",rate_name_dup_cnt,0.707054789
0.165444655,0.001263935,"(0.02202175936,0.0274314214]",rate_name_dup_cnt,0.154014808
0.165444655,0.012437655,"(0.0274314214,0.0363636364]",rate_name_dup_cnt,0.375977335
0.165444655,0.002097507,"(0.0363636364,0.0462555066]",rate_name_dup_cnt,-0.180954955
0.165444655,9.36E-05,"(0.0462555066,0.0533333333]",rate_name_dup_cnt,0.045058954
0.165444655,0.002323883,"(0.0533333333,0.0620812079]",rate_name_dup_cnt,0.215536181
0.165444655,0.002910223,"(0.0620812079,0.0731707317]",rate_name_dup_cnt,-0.243483704
0.165444655,0.00144635,"(0.0731707317,0.0879120879]",rate_name_dup_cnt,0.171148934
0.165444655,0.007308946,"(0.0879120879,0.2936046512]",rate_name_dup_cnt,-0.212586029
0.165444655,0.025339934,"(0.2936046512,+INF)",rate_name_dup_cnt,-0.670351516
0.095225751,0.004141644,"(-INF,0.0]",rate_name_num_dup_cnt,0.077002621
0.095225751,0.000969973,"(0.0,0.0128205128]",rate_name_num_dup_cnt,0.123258385
0.095225751,0.009569187,"(0.0128205128,0.027150853761]",rate_name_num_dup_cnt,0.364914494
0.095225751,0.005158508,"(0.027150853761,0.062992126]",rate_name_num_dup_cnt,-0.283277286
0.095225751,0.066814022,"(0.062992126,0.2105263158]",rate_name_num_dup_cnt,-1.417319414
0.095225751,0.008572417,"(0.2105263158,+INF)",rate_name_num_dup_cnt,-0.382612935
0.159926401,0.013839795,"(-INF,0.0]",rate_name_one_cnt,-0.286060661
0.159926401,0.011603548,"(0.0,0.006015301632]",rate_name_one_cnt,0.469443063
0.159926401,0.000278926,"(0.006015301632,0.0092592593]",rate_name_one_cnt,0.072103718
0.159926401,0.006870986,"(0.0092592593,0.0119047619]",rate_name_one_cnt,0.369078112
0.159926401,2.20E-05,"(0.0119047619,0.0163934426]",rate_name_one_cnt,-0.018321989
0.159926401,0.016583972,"(0.0163934426,0.0217391304]",rate_name_one_cnt,0.456909326
0.159926401,0.000789143,"(0.0217391304,0.0253807107]",rate_name_one_cnt,-0.131931218
0.159926401,0.001363676,"(0.0253807107,0.030476673448]",rate_name_one_cnt,0.151423014
0.159926401,0.010881437,"(0.030476673448,0.0364963504]",rate_name_one_cnt,0.43578178
0.159926401,0.003786381,"(0.0364963504,0.0421052632]",rate_name_one_cnt,-0.301007548
0.159926401,0.000541535,"(0.0421052632,0.0562248996]",rate_name_one_cnt,0.078478419
0.159926401,0.007671613,"(0.0562248996,0.0745614035]",rate_name_one_cnt,0.304225076
0.159926401,0.000561104,"(0.0745614035,0.1111111111]",rate_name_one_cnt,-0.088319844
0.159926401,0.030346774,"(0.1111111111,0.16]",rate_name_one_cnt,-0.956591627
0.159926401,0.05478548,"(0.16,+INF)",rate_name_one_cnt,-1.266746556
0.064970915,0.011513344,"(-INF,0.0]",rate_name_null_cnt,-0.123537426
0.064970915,0.036510354,"(0.0,0.0078740157]",rate_name_null_cnt,0.652113416
0.064970915,0.016888245,"(0.0078740157,0.0212765957]",rate_name_null_cnt,0.430466968
0.064970915,5.90E-05,"(0.0212765957,+INF)",rate_name_null_cnt,-0.031025053
0.925354917,0.271989193,"(-INF,0.0]",rate_num_split_cnt,-0.649391212
0.925354917,0.080506781,"(0.0,0.072901758682]",rate_num_split_cnt,1.114907061
0.925354917,0.207545181,"(0.072901758682,0.388174130944]",rate_num_split_cnt,1.403563318
0.925354917,0.365313763,"(0.388174130944,+INF)",rate_num_split_cnt,1.83685787
